time distance error speed
0 13.4 3.400001 340.0001
54 13.5 3.5 350.0
110 13.3 3.3 330.0
165 13.2 3.2 320.0
219 13.2 3.2 320.0
274 13.3 3.3 330.0
331 13.0 3.0 300.0
386 12.8 2.8 280.0
442 12.2 2.2 220.0
498 11.6 1.6 160.0
554 11.2 1.2 120.0
609 10.6 0.6000004 60.00004
664 10.6 0.6000004 60.00004
719 9.5 -0.5 -50.0
775 8.8 -1.2 -120.0
828 8.5 -1.5 -150.0
884 7.7 -2.3 -230.0
940 7.8 -2.2 -220.0
993 8.8 -1.2 -120.0
1047 8.8 -1.2 -120.0
1102 9.3 -0.6999998 -69.99998
1158 9.7 -0.3000002 -30.00002
1216 9.7 -0.3000002 -30.00002
1271 10.8 0.8000002 80.00002
1326 11.4 1.400001 140.0001
1382 11.7 1.7 170.0
1437 11.7 1.7 170.0
1492 12.2 2.2 220.0
1549 12.2 2.2 220.0
1604 12.4 2.400001 240.0001
1660 12.4 2.400001 240.0001
1716 12.2 2.2 220.0
1771 11.8 1.8 180.0
1827 11.8 1.8 180.0
1882 11.8 1.8 180.0
1937 10.0 0.0 0.0
1992 9.0 -1.0 -100.0
2048 9.0 -1.0 -100.0
2102 8.7 -1.3 -130.0
2155 8.5 -1.5 -150.0
2212 8.6 -1.4 -140.0
2267 8.6 -1.4 -140.0
2322 8.900001 -1.099999 -109.9999
2378 9.6 -0.3999996 -39.99996
2433 9.6 -0.3999996 -39.99996
2487 10.1 0.1000004 10.00004
2552 10.1 0.1000004 10.00004
2608 10.1 0.1000004 10.00004
2666 11.2 1.2 120.0
2721 11.3 1.3 130.0
2774 11.3 1.3 130.0
2830 11.2 1.2 120.0
2886 11.2 1.2 120.0
2941 11.2 1.2 120.0
2994 10.9 0.9000006 90.00006
3050 10.4 0.4000006 40.00006
3106 9.7 -0.3000002 -30.00002
3163 9.5 -0.5 -50.0
3217 8.400001 -1.599999 -159.9999
3271 8.400001 -1.599999 -159.9999
3329 8.3 -1.7 -170.0
3385 8.400001 -1.599999 -159.9999
3440 8.2 -1.8 -180.0
3497 8.2 -1.8 -180.0
3552 8.2 -1.8 -180.0
3606 8.2 -1.8 -180.0
3661 8.5 -1.5 -150.0
3716 9.5 -0.5 -50.0
3770 10.1 0.1000004 10.00004
3825 10.4 0.4000006 40.00006
3882 10.4 0.4000006 40.00006
3945 11.3 1.3 130.0
4000 11.2 1.2 120.0
4056 11.0 1.0 100.0
4111 11.0 1.0 100.0
4167 10.7 0.6999998 69.99998
4223 10.0 0.0 0.0
4280 9.0 -1.0 -100.0
4337 9.0 -1.0 -100.0
4393 8.5 -1.5 -150.0
4448 8.6 -1.4 -140.0
4504 8.6 -1.4 -140.0
4558 8.900001 -1.099999 -109.9999
4613 8.900001 -1.099999 -109.9999
4668 8.900001 -1.099999 -109.9999
4723 9.6 -0.3999996 -39.99996
4777 10.3 0.3000002 30.00002
4832 10.6 0.6000004 60.00004
4886 11.2 1.2 120.0
4943 11.2 1.2 120.0
4998 11.2 1.2 120.0
5053 11.8 1.8 180.0
5107 11.9 1.900001 190.0001
5162 12.0 2.0 200.0
5217 12.0 2.0 200.0
5271 12.0 2.0 200.0
5326 11.5 1.5 150.0
5382 11.1 1.1 110.0
5436 10.7 0.6999998 69.99998
5492 9.6 -0.3999996 -39.99996
5547 9.6 -0.3999996 -39.99996
5602 8.8 -1.2 -120.0
5658 8.8 -1.2 -120.0
5713 8.7 -1.3 -130.0
5769 8.7 -1.3 -130.0
5824 9.2 -0.8000002 -80.00002
5879 9.2 -0.8000002 -80.00002
5935 10.3 0.3000002 30.00002
5989 11.1 1.1 110.0
6044 11.3 1.3 130.0
6100 11.7 1.7 170.0
6154 11.7 1.7 170.0
6210 11.5 1.5 150.0
6265 11.1 1.1 110.0
6320 11.1 1.1 110.0
6376 10.1 0.1000004 10.00004
6431 9.2 -0.8000002 -80.00002
6490 9.0 -1.0 -100.0
6543 8.5 -1.5 -150.0
6598 8.6 -1.4 -140.0
6654 8.5 -1.5 -150.0
6710 8.3 -1.7 -170.0
6767 8.6 -1.4 -140.0
6822 8.8 -1.2 -120.0
6876 8.8 -1.2 -120.0
6930 9.7 -0.3000002 -30.00002
6984 9.7 -0.3000002 -30.00002
7041 10.5 0.5 50.0
7097 11.1 1.1 110.0
7151 11.1 1.1 110.0
7205 11.6 1.6 160.0
7260 12.0 2.0 200.0
7315 12.1 2.1 210.0
7371 12.1 2.1 210.0
7427 11.9 1.900001 190.0001
7483 12.0 2.0 200.0
7538 11.6 1.6 160.0
7593 10.8 0.8000002 80.00002
7647 10.8 0.8000002 80.00002
7700 10.2 0.1999998 19.99998
7754 9.7 -0.3000002 -30.00002
7810 9.1 -0.8999996 -89.99996
7865 8.400001 -1.599999 -159.9999
7921 8.400001 -1.599999 -159.9999
7977 8.2 -1.8 -180.0
8032 8.3 -1.7 -170.0
8086 8.3 -1.7 -170.0
8150 8.3 -1.7 -170.0
8204 8.400001 -1.599999 -159.9999
8259 9.1 -0.8999996 -89.99996
8313 9.7 -0.3000002 -30.00002
8367 9.7 -0.3000002 -30.00002
