time distance error speed
0 12.2 2.2 44.0
55 12.2 2.2 44.0
110 12.2 2.2 44.0
166 12.2 2.2 44.0
220 12.2 2.2 44.0
274 11.9 1.900001 38.00001
330 11.5 1.5 30.0
385 11.5 1.5 30.0
439 11.0 1.0 20.0
496 11.0 1.0 20.0
550 11.1 1.1 22.00001
605 11.2 1.2 24.0
660 11.2 1.2 24.0
716 11.1 1.1 22.00001
771 11.4 1.400001 28.00001
824 11.4 1.400001 28.00001
880 11.4 1.400001 28.00001
933 11.2 1.2 24.0
987 11.1 1.1 22.00001
1042 11.1 1.1 22.00001
1097 11.1 1.1 22.00001
1153 11.2 1.2 24.0
1209 11.2 1.2 24.0
1264 11.2 1.2 24.0
1319 11.3 1.3 26.0
1375 11.1 1.1 22.00001
1431 11.1 1.1 22.00001
1487 10.9 0.9000006 18.00001
1543 10.9 0.9000006 18.00001
1598 10.9 0.9000006 18.00001
1655 11.6 1.6 32.00001
1709 11.6 1.6 32.00001
1764 12.0 2.0 40.0
1820 12.1 2.1 42.00001
1875 12.3 2.3 46.0
1931 12.3 2.3 46.0
1986 12.4 2.400001 48.00001
2041 12.6 2.6 52.00001
2095 12.7 2.7 54.0
2148 12.7 2.7 54.0
2212 13.3 3.3 66.0
2268 13.7 3.7 74.0
2324 14.3 4.3 86.0
2379 14.7 4.7 94.0
2434 14.8 4.8 96.0
2489 15.0 5.0 100.0
2543 15.3 5.3 106.0
2598 15.3 5.3 106.0
2652 15.9 5.900001 118.0
2708 15.9 5.900001 118.0
2763 16.8 6.800001 136.0
2819 17.4 7.4 148.0
2875 17.6 7.6 152.0
2930 17.5 7.5 150.0
2984 17.4 7.4 148.0
3040 17.0 7.0 140.0
3095 16.3 6.300001 126.0
3150 16.0 6.0 120.0
3204 15.4 5.400001 108.0
3259 14.7 4.7 94.0
3316 14.7 4.7 94.0
3369 14.0 4.0 80.0
3424 13.9 3.900001 78.00002
3479 13.6 3.6 72.00001
3532 13.2 3.2 64.0
3596 12.8 2.8 56.0
3650 12.8 2.8 56.0
3705 12.8 2.8 56.0
3761 11.2 1.2 24.0
3818 10.3 0.3000002 6.000004
3873 10.3 0.3000002 6.000004
3927 9.8 -0.1999998 -3.999996
3981 9.6 -0.3999996 -7.999992
4035 9.6 -0.3999996 -7.999992
4092 9.6 -0.3999996 -7.999992
4146 9.5 -0.5 -10.0
4201 9.400001 -0.5999994 -11.99999
4259 9.400001 -0.5999994 -11.99999
4314 9.5 -0.5 -10.0
4370 9.6 -0.3999996 -7.999992
4425 9.6 -0.3999996 -7.999992
4480 9.6 -0.3999996 -7.999992
4537 9.7 -0.3000002 -6.000004
4592 9.8 -0.1999998 -3.999996
4646 9.8 -0.1999998 -3.999996
4701 9.900001 -0.09999943 -1.999989
4756 9.900001 -0.09999943 -1.999989
4813 9.8 -0.1999998 -3.999996
4867 9.8 -0.1999998 -3.999996
4924 9.900001 -0.09999943 -1.999989
4978 9.900001 -0.09999943 -1.999989
5034 9.900001 -0.09999943 -1.999989
5089 9.900001 -0.09999943 -1.999989
5144 9.900001 -0.09999943 -1.999989
5197 10.0 0.0 0.0
5252 10.0 0.0 0.0
5307 10.0 0.0 0.0
5361 10.0 0.0 0.0
5416 10.0 0.0 0.0
5471 10.0 0.0 0.0
5526 10.0 0.0 0.0
5581 9.900001 -0.09999943 -1.999989
5637 10.0 0.0 0.0
5692 10.1 0.1000004 2.000008
5746 10.0 0.0 0.0
5800 10.0 0.0 0.0
5854 10.0 0.0 0.0
5909 9.900001 -0.09999943 -1.999989
5965 10.1 0.1000004 2.000008
6020 10.0 0.0 0.0
6075 10.0 0.0 0.0
6130 10.0 0.0 0.0
6184 10.0 0.0 0.0
6239 10.1 0.1000004 2.000008
6293 10.0 0.0 0.0
6348 10.0 0.0 0.0
6404 10.0 0.0 0.0
6459 10.0 0.0 0.0
6515 10.1 0.1000004 2.000008
6568 10.0 0.0 0.0
6623 9.900001 -0.09999943 -1.999989
6678 9.900001 -0.09999943 -1.999989
6731 10.1 0.1000004 2.000008
6786 9.900001 -0.09999943 -1.999989
6842 10.0 0.0 0.0
6898 10.1 0.1000004 2.000008
6953 10.1 0.1000004 2.000008
7009 10.0 0.0 0.0
7065 10.0 0.0 0.0
7120 10.0 0.0 0.0
7174 10.1 0.1000004 2.000008
7227 10.1 0.1000004 2.000008
7283 9.8 -0.1999998 -3.999996
7339 10.0 0.0 0.0
7393 10.0 0.0 0.0
7447 10.0 0.0 0.0
7504 10.1 0.1000004 2.000008
7558 10.1 0.1000004 2.000008
7614 10.1 0.1000004 2.000008
7668 10.1 0.1000004 2.000008
7723 10.0 0.0 0.0
7788 10.0 0.0 0.0
7843 10.0 0.0 0.0
7899 10.0 0.0 0.0
7954 10.2 0.1999998 3.999996
8011 9.900001 -0.09999943 -1.999989
8067 9.900001 -0.09999943 -1.999989
8120 9.8 -0.1999998 -3.999996
